Объект,Полный адрес,Вид объекта,описание предмета охраны
Дом купца Куликова,"Алтайский край, Змеиногорский район, г. Змеиногорск, ул. Шумакова, 3",Памятник,
Аптека Флейберга,"Алтайский край, Змеиногорский район, г. Змеиногорск, ул. Щорса, 1 (пер. Горный, 1)",Памятник,"«Комплекс исторического центра г. Змеиногорска», XIX в.  Градостроительная характеристика.  Местоположение и градостроительные характеристики комплекса, участвующего в формировании застройки исторического центра города Змеиногорска, его роль в композиционно-планировочной структуре кварталов и линий застройки улиц Семипалатинской, К. Маркса, Щорса и переулка Горный.  Пространственно-планировочная структура.  Пространственно-планировочная композиция комплекса, включая местоположение, габариты и высотные отметки восьми зданий, соотношение застроенных и незастроенных пространств, озелененных и неозелененных территорий.   Секторы и направления видовых раскрытий, визуальные связи элементов комплекса (ансамбля).  Археологический (культурный) слой под площадью застройки ансамбля.  Общая оценка общественной, научно-исторической и художественной значимости ансамбля  История г. Змеиногорска связана с развитием горного дела на Алтае, где на первых этапах все было подчинено производству. Простая и рациональная планировка поселения дала начало историческому центру. Во второй половине XIX века, когда роль и значение горнозаводского производства упали, город Змеиногорск являлся значительным торговым центром для юго-западного Алтая.  Элементы комплекса, формирующие центральную исторически сложившуюся площадь (главными фасадами здания ориентированы на бывшую торговую площадь, ограниченную улицей Семипалатинской и переулком Горным) являются образцами торговых зданий конца XIX – начала ХХ веков, выполненных в формах эклектики, где перемешаны мотивы классицизма, оригинальный кирпичный декор, ажурный металл.   Описание особенностей элементов ансамбля, послуживших основанием для включения их в реестр и подлежащих обязательному сохранению  1. «Лавка торговая купца Воробьева», XIX в., Алтайский край, Змеиногорский район,  г. Змеиногорск, пер. Горный, 3  1.1. Градостроительная характеристика.  Здание расположено в историческом центре города, на пересечении улицы Щорса и переулка Горного. Главным юго-западным фасадом обращено на торговую площадь, боковым северо-западным вдоль красной линии застройки пер. Горного.  1.2. Объемно-пространственное решение и габариты здания.  Одноэтажное кирпичное здание, прямоугольное в плане со срезанными углами по юго-западному торцевому фасаду.  1.3. Конструктивные особенности.  Стены и декоративные элементы выполнены из красного кирпича лицевой кладки. Крыши вальмовая с кровельным материалом из листового металла.  1.4. Декоративное оформление фасадов.  Каждый из фасадов имеет кирпичный декор, характеризующийся сложностью форм. Горизонтальное членение фасадов подчеркнуто карнизом небольшого выноса, переходящим в поясок мелкого кирпичного декора.  Композиция главного юго-западного фасада симметрична и выполнена в виде двух срезанных углов, в месте расположения которых устроены главные входы в здание. Углы акцентированы прямоугольными аттиками равными по ширине дверным проемам. Центральная часть фасада завершена меньшим по высоте аттиком. Декор фасада представлен в виде фигурных накладок из лекального кирпича.   Продольные   боковые  фасады  по  центральным  осям  акцентированы   фигурными аттиками со слуховыми окнами, карниз которых украшен городками из лекального кирпича. Аттики фланкированы тумбами с четырехскатными кровельками.    Северо-западный фасад, ориентированный на переулок Горный, выполнен в три оси проемов, по центральной расположен широкий дверной проем.   Дверные и оконные проемы с лучковыми перемычками обрамлены рамочными наличниками с выделением замковых камней. Проемы имеют металлические ставни с полотнищами на заклепках.   Над карнизом углы здания акцентированы парапетными тумбами.  Северо-восточный фасад, по ул. Щорса, выполнен без декора.  Общая оценка общественной, научно-исторической и художественной значимости памятника  Объект культурного наследия является образцом торгового здания конца XIX – начала ХХ веков, выполненным в эклектичных формах, имеет градостроительное значение, формируя торговую площадь исторического центра города.  Пристроенные к юго-восточному фасаду объемы к предмету охраны не относятся.  2. «Магазин купца Колесова», XIX в., Алтайский край, Змеиногорский район, г. Змеиногорск, пер. Горный, 5  2.1. Градостроительная характеристика.  Здание расположено в историческом центре города, северо-западным фасадом вдоль красной линии застройки переулка Горного, юго-восточным обращено на торговую площадь.  2.2. Объемно-пространственное решение и габариты здания.  Двухэтажное кирпичное здание, в плане прямоугольной формы. Планировка здания включает лестничный блок, небольшое подсобное помещение на первом этаже северо-восточной части здания и торговые залы на каждом этаже.  2.3. Конструктивные особенности.  Стены и декоративные элементы выполнены из красного кирпича лицевой кладки. Двухскатная крыша образована треугольными щипцами торцевых фасадов, кровля из листового металла, водосток организованный.  2.4. Декоративное оформление фасадов.  Декоративное оформление выполнено только по продольным фасадам, имеющим симметричное решение. Горизонтальное членение подчеркнуто профилированным карнизом небольшого выноса и междуэтажным поясками, один из которых проходит под окнами второго этажа, второй – над проемами первого этажа, огибая перемычки проемов лучковой формы, третий под окнами первого этажа.   Лучковые проемы второго этажа обрамлены рамочными наличниками с выделенными замковыми камнями, соединенными с лучковыми сандриками. Оконные и дверные проемы первого этажа имеют железные ставни на заклепках.  По центральным осям фасады в уровне кровли акцентированы полукруглыми аттиками с фланкирующими тумбами и круглыми слуховыми окнами в профилированном наличнике. Углы здания в уровне крыши отмечены тумбами с четырехскатными кровельками.   Композиция уличного северо-западного фасада в три оси проемов, где центр в уровне второго этажа акцентирован широким проемом. Крайние проемы первого этажа обрамлены широкими рамочными наличниками, доходящими до уровня междуэтажного пояска, проем по центру с узким рамочным наличником.   Композиция юго-восточного фасада, обращенного в сторону торговой площади, имеет аналогичное декоративное оформление уличному фасаду в уровне второго этажа. В уровне первого этажа крайние дверные проемы выполнены с фрамугами, по центральной оси расположено два близко посаженных оконных проема в общем наличнике.   Общая оценка общественной, научно-исторической и художественной значимости памятника  Объект культурного наследия является образцом торгового здания конца XIX – начала ХХ веков, выполненным в эклектичных формах, имеет градостроительное значение, формируя торговую площадь исторического центра города.  3. «Рентская лавка», XIX в., Алтайский край, Змеиногорский район,  г. Змеиногорск, ул. К. Маркса, 3  3.1. Градостроительная характеристика.  Здание расположено в историческом центре города, на перепаде рельефа, торцевым юго-восточным фасадом выходит на красную линию застройки улицы К. Маркса.   3.2. Объемно-пространственное решение и габариты здания.  Одноэтажное кирпичное здание в плане прямоугольной формы, под частью объема имеется подвал.   3.3. Конструктивные особенности.  Стены и декоративные элементы выполнены из красного керамического кирпича лицевой кладки. Высокие лучковые проемы выполнены с клинчатыми перемычками. Двухскатная крыша образована по торцевым фасадам треугольными фронтонами, кровля из листового металла.   3.4. Декоративное оформление фасадов.   Фасады имеют симметричную композицию, оформлены с применением элементов в классических формах. Стены завершены небольшого выноса карнизом сложного профиля. Углы здания акцентированы пилястрами.   Главный юго-восточный фасад из-за перепада рельефа более высокий, выполнен в три оси проемов, завершается высоким треугольным разорванным фронтоном. По центральной оси расположен главный вход с крыльцом, по обе стороны от которого оконные проемы лучковой формы.   Протяженный юго-западный фасад имеет пять оконных осей. Прямые сандрики на кронштейнах со спусками устроены над всеми проемами кроме более широкого центрального.   Общая оценка общественной, научно-исторической и художественной значимости памятника  Пример здания, выполненного в формах эклектики с элементами классицизма.   Примыкающие кирпичные и деревянные пристройки к предмету охраны не относятся.  4. «Лавка Макарова», XIX в., Алтайский край, Змеиногорский район, г. Змеиногорск, ул. Семипалатинская, 3  4.1. Градостроительная характеристика.  Здание расположено в историческом центре города на пересечении улиц Семипалатинской и Набережной, главным северо-западным фасадом выходит на красную линию улицы Семипалатинской. Из-за перепада рельефа со стороны юго-западного и юго-восточного фасадов имеется цокольный этаж.  4.2. Объемно-пространственное решение и габариты здания.  Двухэтажное кирпичное здание в плане прямоугольной формы с цокольным этажом по юго-восточному фасаду. Со стороны левого фланга дворового юго-восточного фасада усложнено ризалитом.  4.3. Конструктивные о"
Лавка,"Алтайский край, Змеиногорский район, г. Змеиногорск, ул. Щорса, 11",Памятник,
Музей горного дела,"Алтайский край, Змеиногорский район, г. Змеиногорск, ул. Щорса, 13",Памятник,"1. Градостроительная характеристика.  Здание расположено в рядовой застройке улицы Щорса, главным юго-западным фасадом выходит на красную линию.  2. Объемно-планировочное решение и габариты здания.  Одноэтажное кирпичное здание, основной объем прямоугольной формы в плане, акцентирован ризалитами небольшого выноса по центральным осям северо-западного и юго-западного фасадов. Внутри здание разделено на две неравные части стеной с двумя проемами.  3. Конструктивные особенности.  Стены и декоративные элементы выполнены из красного керамического кирпича лицевой кладки. Крыша вальмовая со слуховыми окнами по торцевым фасадам, кровельный материал – листовой металл.  4. Декоративное оформление фасадов.    Горизонтальное членение фасадов подчеркнуто развитым карнизом с консолями, переходящим в поясок мелкого кирпичного декора.   Главный юго-западный фасад, ориентированный на улицу Щорса, выполнен в семь осей проемов. По центральной оси расположен ризалит в одну ось, выделенный рустованными лопатками, и аттик арочной формы, фланкированный парапетными тумбами с нишами, завершенными четырехскатными кровельками. Арочной формы проем в центре аттика, обрамлен рамочным наличником с замковым камнем.   Вход расположен на третьей оси и оформлен аналогично оконным проемам. Углы основного объема здания фланкированы широкими лопатками, расскрепованными в уровне карниза. Выступающий цоколь выделен лекальным кирпичом. Трехцентровые арочные окна обрамлены плоскими рамочными наличниками с тройными замковыми камнями и объединены подоконным поясом, включающим прямоугольные ниши, размещенные в местах проемов.   Торцевой северо-западный фасад акцентирован по центральной оси ризалитом небольшого выноса. Декоративное оформление окон аналогично главному юго-западному фасаду.  Со стороны торцевого юго-восточного фасада имеется два оконных проема, расположенных со смещением к левому флангу. Декоративное оформление аналогичное.  Все оконные проемы имеют металлические ставни и симметричное двухстворчатое остекление с фрамугой.  Расстекловка фрамуги 4-х частная сегментарная, в створках выделены верхняя и нижняя части.  5. Информационная табличка.  С левого фланга главного фасада установлено две информационных таблички. Из гранита - с надписью: «Музей истории развития горного производства им. Акинфия Демидова». Металлическая табличка с надписью: «Музей основан в 1827 г. П.К. Фроловым».  Общая оценка общественной, научно-исторической и художественной значимости памятника:  Музей   расположен   в   исторической  части центра  города. Это первое в Западной  Сибири здание, построенное специально для музея, памятник архитектуры  первой  половины XIX века,  выполненный  с  использованием элементов  барокко,  памятник  истории,  связанный  с  деятельностью  П.К. Фролова.   Одноэтажный кирпичный объем, примыкающий к северо-восточному фасаду, к предмету охраны не относится.  "
Склад,"Алтайский край, Змеиногорский район, г. Змеиногорск, ул. Щорса, 9",Памятник,
Дом горных офицеров,"Алтайский край, Змеиногорский район, г. Змеиногорск, улица Щорса, 7",Памятник,
"Памятник ""Братская могила погибших партизан""","Алтайский край, Змеиногорский район, г. Змеиногорск, центральная площадь",Памятник,
Памятник П.К.Фролову,"Алтайский край, Змеиногорский район, г. Змеиногоск, ул. Ленина",Памятник,
Жилой дом,"Алтайский край, Змеиногорский район, г. Змеиногоск, ул. Щорса, 9",Памятник,
Усадьба купца Митина (комплекс),"Алтайский край, Змеиногорский район, г. Змеиногоск, ул. Щорса, 9, 11",Ансамбль,
Место усадьбы Петра Козьмича Фролова с лиственницами,"Алтайский край, Змеиногорский район, город Змеиногорск, улица Шумакова",Достопримечательное место,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, п. Беспаловский, ул. Нагорная, 4 а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Змеиногорский район, п. Варшава, ул. Центральная, 35 а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Змеиногорский район, п. Воронеж, ул. Центральная, 2 а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Змеиногорский район, п. Воронеж.  2. Мемориально-композиционное решение:  фамилии погибших воинов;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, п. Октябрьский, ул. 40 лет Победы, 1",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Змеиногорский район, п. Октябрьский.  2. Мемориально-композиционное решение:  фамилии погибших воинов-односельчан;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Змеиногорский район, п. Октябрьский, ул. Комсомольская, 1",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Змеиногорский район, п. Октябрьский.  2. Мемориально-композиционное решение:  фамилии погибших воинов;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, с. Барановка, ул. Западная, 39",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Змеиногорский район, с. Кавказ",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Змеиногорский район, п. Кавказ.  2. Мемориально-композиционное решение:  фамилии погибших воинов;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, с. Карамышево, ул. Молодежная, 15",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Змеиногорский район, с. Карамышево.  2. Мемориально-композиционное решение:  фамилии погибших воинов;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, с. Кузьминка, ул. Молодежная, 2 Б",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Змеиногорский район, с. Кузьминка.  2. Автор:  В.А. Кравчук.  3. Мемориально-композиционное решение:  фамилии погибших воинов-односельчан;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, с. Кузьминка, ул. Молодежная, 2 б",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Змеиногорский район, с. Никольск, ул. Набережная, 20 а",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, с. Саввушка, ул. Центральная, 71 а",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, с. Таловка, ул. Советская, 48 а",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Змеиногорский район, с. Таловка, ул. Советская, 48 а",Памятник,
"Обелиск воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, п. Мирный, ул. Ленина, 2 г/1",Памятник,
"Обелиск воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, п. Новый Быт, ул. Школьная, 14 б",Памятник,
"Обелиск воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, п. Путь Ленинизма, ул. Луговая, 2А",Памятник,
Могила партизана Пошевнева В.К.,"Алтайский край, Зональный район, с. Буланиха, ул. Пошевнева, 2/1",Памятник,
Лавка купца Башковского,"Алтайский край, Зональный район, с. Буланиха, ул. Пошевнева, 29б",Памятник,
"Обелиск воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Буланиха, ул. Пошевнева, 57а",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Зональное, ул. Ленина, 16",Памятник,
"Обелиск воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Комарово, ул. Школьная, 15б",Памятник,
"Обелиск воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Луговское, ул. Парковая, 24Б",Памятник,
"Обелиск воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Новая Чемровка, ул. Бийская, 1 в",Памятник,
Дом-лавка купца Шкрелева,"Алтайский край, Зональный район, с. Плешково",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Плешково, ул. Московская, 45б",Памятник,
Могила-памятник партизану Шипилову Григорию,"Алтайский край, Зональный район, с. Плешково, ул. Московская, 46б",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Свиново, ул. Садовая, 12а",Памятник,
Жилой дом,"Алтайский край, Зональный район, с. Соколово, пер. Клубный, 1",Памятник,
Основной цех винокуренного завода,"Алтайский край, Зональный район, с. Соколово, ул. Кирова, 1",Памятник,
Комплекс винокуренного завода,"Алтайский край, Зональный район, с. Соколово, ул. Кирова, 1, пер. Клубный, 1",Ансамбль,
"Обелиск воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Соколово, ул. Кирова, 38а",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Соколово, ул. Кирова, 38б",Памятник,
Дом купца Глебова,"Алтайский край, Зональный район, с. Соколово, ул. Советская, 88",Памятник,
Дом-лавка купца Глебова,"Алтайский край, Зональный район, с. Соколово, ул. Советская, 90б",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Зональный район, с. Шубенка, ул. Ленина, 43",Памятник,
Братская могила партизан,"Алтайский край, Калманский район, бывшее с. Васино, на кладбище",Памятник,
Братская могила партизан,"Алтайский край, Калманский район, бывшее с. Мезенцево, на кладбище",Памятник,
"Мемориал воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Калманский район, п. Алтай, ул. Советская, 27",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, п. Солонцовый, ул. Солонцовая, 3а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, п. Троицк",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. Александровка, ул. Молодежная, 30а",Памятник,
"Братская могила борцов, погибших за власть Советов","Алтайский край, Калманский район, с. Бураново, кладбище",Памятник,
"Мемориал воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Калманский район, с. Бураново, ул. Ерушева, 17",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. Зимари, ул. Центральная, 56а",Памятник,
"Братская могила борцов, погибших за власть Советов","Алтайский край, Калманский район, с. Калистратиха, ул. Центральная, 1а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. Калистратиха, ул. Школьная, 14а",Памятник,"1. Местоположение объекта культурного наследия:  Алтайский край, Калманский район, с. Калистратиха.  2. Мемориально-композиционное решение:  фамилии погибших воинов;  памятник посвящен событиям Великой Отечественной войны (1941–1945 гг.)."
Памятник погибшим в годы гражданской войны,"Алтайский край, Калманский район, с. Калманка, парк",Памятник,
"Мемориал воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Калманский район, с. Калманка, парк Победы",Памятник,
Магазин купца Сухова,"Алтайский край, Калманский район, с. Калманка, ул. Ленина, 8",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. Кубанка, ул. Садовая, 7а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. Новобарнаулка, ул. Новобарнаульская, 1а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. Панфилово, ул. Пензенская, 11а",Памятник,
"Братская могила борцов, погибших за власть Советов","Алтайский край, Калманский район, с. Усть-Алейка, кладбище",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. Усть-Алейка, ул. Партизанская, 38а",Памятник,
Братская могила погибших за власть Советов,"Алтайский край, Калманский район, с. Шадрино, 2 км от трассы Барнаул - Шадрино",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. Шадрино, у здания школы",Памятник,
"Мемориальная плита ""Вечная память павшим в боях за Родину в 1941-1945 гг.""","Алтайский край, Калманский район, с. Шилово, ул. Школьная, 13а",Памятник,
"Мемориальная плита в честь комсомольцев и учителей Шиловской школы, павших на фронтах Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Калманский район, с. Шилово, ул. Школьная, 9а",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941 - 1945 гг.)","Алтайский край, Калманский район, с. с. Шадрино, ул. Кировская, 38а",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район,  п. Октябрьский, ул. Центральная, 20",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район,  п. Толстовский, ул. Центральная, 51",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район,  п. Филипповский, на изгибе ул. Сибирской между домами № 19 и № 21",Памятник,
"Мемориальный комплекс воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район,  с.Рыбное, ул. Центральная, 2",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район, бывший поселок Курский у проезжей части",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район, п. Зеленая Дубрава, на пересечении ул. Центральной и четной стороны ул. Лесной",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район, п. Раздольный, пер. Школьный, прилегающие улицы Садовая и Степная",Памятник,
"Обелиск воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район, п. Тамбовский, в центре села",Памятник,
Братская могила 23-х погибших партизан,"Алтайский край, Каменский  район, с. Аллак, ул. Центральная, 2 г",Памятник,
"Памятник воинам, погибшим в годы Великой Отечественной войны (1941-1945 гг.)","Алтайский край, Каменский  район, с. Аллак, ул. Центральная, 2 г",Памятник,
